route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1298,11,M2,YENÝKAPI - HACIOSMAN,,1,https://www.metro.istanbul/seferTarife.aspx?r=04c7f4fc-ba94-4eb2-8764-9e43dc1c604b&bs=584872cb-5812-4d5f-bd26-3118c7e22c19&ls=935ddc62-0a30-4578-a18d-fdc7a8e3d078&d=1,,
1290,11,TF1,MAÇKA - TAÞKIÞLA,,6,http://www.istanbul-ulasim.com.tr/rayl%C4%B1-sistemler/ma%C3%A7ka-%E2%80%93-ta%C5%9Fk%C4%B1%C5%9Fla-teleferik.aspx,,
1291,11,TF2,EYÜP - PÝYERLOTÝ TELEFERÝÐÝ,,6,http://www.istanbul-ulasim.com.tr/rayl%C4%B1-sistemler/ey%C3%BCp-piyerloti-teleferik-hatt%C4%B1.aspx,,
1296,11,M1A,YENÝKAPI - ATATÜRK HAVALÝMANI,,1,http://www.istanbul-ulasim.com.tr/rayl%C4%B1-sistemler/m1-aksaray-havaliman%C4%B1-kirazl%C4%B1.aspx,,
2048,11,T3,KADIKÖY - MODA,,0,,,
1289,11,T4,TOPKAPI - MESCÝD-Ý SELAM,,0,https://www.metro.istanbul/rayl%C4%B1-sistemler/t4-topkap%C4%B1-%E2%80%93-mescid-i-selam.aspx,,
4065,11,T1,BAÐCILAR - KABATAÞ,,0,https://www.metro.istanbul/seferTarife.aspx?r=888aecf1-4062-4a4e-99e9-6a9550327f7e&bs=ec28f4d1-7548-4279-a127-985a58ec2b8e&ls=31b73dba-0d61-4d2b-b974-b30daf8a93c8&d=1,,
1294,11,M4,KADIKÖY - TAVÞANTEPE,,1,http://www.metro.istanbul/rayl%C4%B1-sistemler/m4-kad%C4%B1k%C3%B6y-tav%C5%9Fantepe.aspx,,
3811,11,M6,LEVENT - BOÐAZÝÇÝ Ü./HÝSARÜSTÜ,,1,http://www.istanbul-ulasim.com.tr/,,
2044,11,M2A,SANAYÝ MAHALLESÝ - SEYRANTEPE,,1,,,
2045,11,M3A,ÝKÝTELLÝ SANAYÝ - OLÝMPÝYAT,,1,,,
7098,11,M5,ÜSKÜDAR - ÇEKMEKÖY,,1,https://www.metro.istanbul/raylý-sistemler/,,
2050,11,F2,KARAKÖY - BEYOÐLU,,7,,,
2047,11,F1,TAKSÝM-KABATAÞ,,7,,,
27196,37,PASABAHCE-SOGUKSU-KAVACIK,HEKÝMBAÞI-ANADOLU HÝSARI-KAVACIK-ÇAVUÞBAÞI,,9,,,
28185,37,DARÜÞÞAFAKA-ÝSTÝNYE-ÝSTÝNYE BAYIRI-4.LEVENT METRO,SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
28182,37,Balta Limaný-4. Levent,SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
27281,37,ÜMRANÝYE DEVLET HASTANESÝ – ÜMRANÝYE – ARMAÐANEVLER MAH.-SÝTE MAH.,ÇAKMAK - ARMAÐANEVLER MAH. - ÜMRANÝYE DEVLET HAST - KAZIM KARABEKÝR MAHALLESÝ,,9,,,
7514,37,KÝLYOS-SARIYER-H.OSMAN METRO-KAYMAKAMLIK(Ring),KAYMAKAMLIK(Ring),,9,,,
7216,37,SÝLAHTARAÐA CAD.-GOP-OTOGAR,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7217,37,OTOGAR-BAYRAMPAÞA-KÜÇÜKKÖY-YUNUS EMRE MAH,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7371,37,FABRÝKALAR-CEVATPAÞA-KOCATEPE-EDÝRNEKAPI,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7214,37,GAZÝOSMANPAÞA TAKSÝM EÐÝTÝM VE ARAÞTIRMA HASTANESÝ-BAÐCILAR HASTANE,BAÐCILAR - HABÝBLER,,9,,,
7272,37,CEVATPAÞA -EYÜP,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7271,37,CEVATPAÞA-BAYRAMPAÞA-EDÝRNEKAPI,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7365,37,BAKIRKÖY-ÞÝRÝNEVLER-POLÝS LOJMANLARI,BAKIRKÖY - ÝKÝTELLÝ - MAHMUTBEY,,9,,,
28184,37,Pýnar Mah-Ýstinye bayýrý-Zincirlikuyu Metrobüs,SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
28183,37,Yeþiltepe-Ayazaða Köyü-4. Levent-Zincirlikuyu,SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
28181,37,R.kavagý -Sarýyer-H.Osman Metro-Kaymakamlýk(Ring),SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
7508,37,Sarýyer-Kocataþ-Sarýdaðüstü-Çayýrbaþý-H.Osman Metro -Kaymakamlýk,SARIYER BÖLGE ÇALIÞMA GRUBU,,9,,,
27203,37,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - CEMÝL MERÝÇ MAH. - MERKEZ MAH.,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - CEMÝL MERÝÇ MAH. – A. YAVUZ MAH. - DUDULLU - MERKEZ MAH.,,9,,,
27366,37,ÞÝLE MERKEZ–AÐVA,ÞÝLE MERKEZ–AÐVA,,9,,,
27204,37,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - ADEM YAVUZ MAH. - MERKEZ MAH.,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - CEMÝL MERÝÇ MAH. – A. YAVUZ MAH. - DUDULLU - MERKEZ MAH.,,9,,,
27365,37,ÞÝLE MERKEZ-ÜMRANÝYE METRO GARDEN AVM,ÞÝLE MERKEZ-ÜMRANÝYE METRO GARDEN AVM,,9,,,
27363,37,ÞÝLE - YAZIMANAYIR - HACILLI - AÐVA,ÞÝLE - YAZIMANAYIR - HACILLI - AÐVA,,9,,,
27359,37,ÞÝLE-YEÞÝLVADÝ-ÜVEZLÝ-ULUPELÝT,ÞÝLE - YEÞÝLVADÝ - ÜVEZLÝ - ULUPELÝT,,9,,,
27358,37,ÞÝLE-DEÐÝRMENÇAYIRI,ÞÝLE - DEÐÝRMENÇAYIRI,,9,,,
7485,37,AÐVA - GÖÇE-GEREDELÝ-KALEMKÖY,AÐVA-GÖÇE-GEREDELÝ-KALEMKÖY,,9,,,
7279,37,AÐVA-BUCAKLI-ÇELEBÝKÖY,AÐVA - BUCAKLI-ÇELEBÝKÖY,,9,,,
7477,37,ÞÝLE-KARAMANDERE-ÝMRENDERE-OVACIK,ÞÝLE - KARAMANDERE-ÝMRENDERE-OVACIK,,9,,,
7275,37,ÞÝLE-KIZILCAKÖY,ÞÝLE - KIZILCAKÖY,,9,,,
27353,37,SULTANBEYLÝ-MECÝDÝYE-DUDULLU,SULTANBEYLÝ - SARIGAZÝ - DUDULLU,,9,,,
7364,37,SULTANBEYLÝ-YENÝDOÐAN,SULTANBEYLÝ - AYDOS - YENÝDOGAN -  KURTKÖY,,9,,,
7362,37,SULTANBEYLÝ DEVLET HASTANESÝ-SULTANBEYLÝ-KURTKÖY,SULTANBEYLÝ - AYDOS - YENÝDOGAN -  KURTKÖY,,9,,,
7359,37,SULTANBEYLÝ-SULTANBEYLÝ DEVLET HASTANESÝ-YENÝDOÐAN,SULTANBEYLÝ - AYDOS - YENÝDOGAN -  KURTKÖY,,9,,,
7366,37,SULTANBEYLÝ – ÇAMLIK MAHALLESÝ,SULTANBEYLÝ - AYDOS - YENÝDOGAN -  KURTKÖY,,9,,,
7360,37,SULTANBEYLÝ-AYDOS,SULTANBEYLÝ - AYDOS - YENÝDOGAN -  KURTKÖY,,9,,,
7489,37,KARTAL-YAKACIK -SAMANDIRA-S.BEYLÝ-YENÝÞEHÝR VÝAPORT,KARTAL-YAKACIK -SAMANDIRA-S.BEYLÝ-YENÝÞEHÝR VÝAPORT,,9,,,
27347,37,PENDÝK-KÝPTAÞ KONUTLARI,PENDÝK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7332,37,PENDÝK-PENDÝK EÐÝTÝM VE ARAÞTIRMA HASTANESÝ-403 K*,PENDÝK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
27208,37,DUDULLU-SARIGAZÝ MAHALLESÝ-YENÝDOÐAN MAHALLESÝ-HÝLAL MAHALLESÝ,DUDULLU - ESENÞEHÝR - SARIGAZÝ - TAÞDELEN - YENÝDOÐAN - ABDURRAHMANGAZÝ - HÝLAL MAH.,,9,,,
27276,37,ÜMRANÝYE – ÇAKMAK MH. – TATLISU MAH.ATATÜRK MAH.KAYIÞDAÐI MAH.,ÜMRANÝYE - ÇAKMAK -  ATAÞEHÝR - KAYIÞDAÐI,,9,,,
27207,37,DUDULLU -SARIGAZÝ-YENÝDOÐAN -ABDURRAHMANGAZÝ,DUDULLU - ESENÞEHÝR - SARIGAZÝ - TAÞDELEN - YENÝDOÐAN - ABDURRAHMANGAZÝ - HÝLAL MAH.,,9,,,
27206,37,DUDULLU - HUZUR MAH. - ÞAHÝNTEPE - MERKEZ MAHALLESÝ,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - CEMÝL MERÝÇ MAH. – A. YAVUZ MAH. - DUDULLU - MERKEZ MAH.,,9,,,
27205,37,DUDULLU - HUZUR MAH. - MERKEZ MAHALLESÝ,ÜMRANÝYE EÐT. VE ARAÞ.HAST. - CEMÝL MERÝÇ MAH. – A. YAVUZ MAH. - DUDULLU - MERKEZ MAH.,,9,,,
7404,37,BÜYÜKÇEKMECE-ZAFER MAHALLESÝ,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7406,37,2.GÜZERGAH,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7467,37,BÜYÜKÇEKMECE-DOÐAN ARASLI-MÝMSAN,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7419,37,ÜSKÜDAR-ÜMRANÝYE-ALEMDAÐ,ÜSKÜDAR - ÜMRANÝYE - ALEMDAÐ - REÞADÝYE,,9,,,
7388,37,Üsküdar-Ümraniye-Tavukçuyolu-Alemdað,ÜSKÜDAR - ÜMRANÝYE - ALEMDAÐ - REÞADÝYE,,9,,,
7418,37,KADIKÖY-YENÝSAHRA-BATI ATAÞEHÝR-TEPEÜSTÜ METRO,KADIKÖY-YENÝSAHRA - BATI ATAÞEHÝR - TEPEÜSTÜ METRO - ÞERÝFALÝ MAH.,,9,,,
7384,37,KADIKÖY-YENÝSAHRA-ÇAMLIK-YUKARI DUDULLU,KADIKÖY-YENÝSAHRA - BATI ATAÞEHÝR - TEPEÜSTÜ METRO - ÞERÝFALÝ MAH.,,9,,,
7383,37,KADIKÖY-YENÝSAHRA-TEPEÜSTÜ METRO,KADIKÖY-YENÝSAHRA - BATI ATAÞEHÝR - TEPEÜSTÜ METRO - ÞERÝFALÝ MAH.,,9,,,
7284,37,ÜMRANÝYE – ÇAKMAK MH. – ÇAMLIK MH.– ATATÜRK MH. – KAYIÞDAÐI MH.,ÜMRANÝYE - ÇAKMAK -  ATAÞEHÝR - KAYIÞDAÐI,,9,,,
7281,37,ÜMRANÝYE (SANTRAL)-ELMALIKENT-DUMLUPINAR-GÖKSU,ÜMRANÝYE (SANTRAL) – ELMALIKENT – DUMLUPINAR - GÖKSU,,9,,,
7250,37,ÜSKÜDAR - KÝRAZLITEPE MAH - FERAH MAH - TANTAVÝ MAH - ELMALIKENT MAH,ÜSKÜDAR - KÝRAZLITEPE MAH - FERAH MAH - TANTAVÝ MAH - ELMALIKENT MAH,,9,,,
7115,37,ESENTEPE MH. - KÜÇÜKKÖY - GAZÝOSMANPAÞA-EYÜP,ESENTEPE MH. - KÜÇÜKKÖY - GAZÝOSMANPAÞA-EYÜP,,9,,,
7397,37,ÜSKÜDAR-BAÐLARBAÞI-KISIKLI-ÖRNEK MAH.-ESATPAÞA,ÜSKÜDAR - ÖRNEK MH. - ESATPAÞA MH.,,9,,,
7263,37,CEBECÝ-KÜÇÜKKÖY-EYÜP,CEBECÝ - GAZÝ MH - KÜÇÜKKÖY - GAZÝOSMANPAÞA - EYÜP,,9,,,
7139,37,AVCILAR-TOKAT MH,AVCILAR - ESENYURT,,9,,,
7478,37,BÜYÜKÇEKMECE- TEPECÝK - TÜRKOBA RÝNG GÜZERGAHI,BÜYÜKÇEKMECE- TÜRKOBA- TEPEKENT,,9,,,
7215,37,NUR SÝTESÝ-TOPKAPI 1,CEVATPAÞA - B.PAÞA - OTOGAR - EYÜP - EDÝRNEKAPI,,9,,,
7511,37,BAHÇEKÖY-TARABYA BAYIRI,ZÝNCÝRLÝKUYU,,9,,,
7261,37,HEKÝMBAÞI-ANADOLU HÝSARI-KAVACIK-ÇAVUÞBAÞI,ANADOLU HÝSARI - KAVACIK - ÇAVUÞBAÞI,,9,,,
7248,37,KADIKÖY-CAPÝTOL-KÝRAZLITEPE MAHALLESÝ,KADIKÖY - POLÝS HASTANESÝ-EMNÝYET MAHALLESÝ,,9,,,
7347,37,MALTEPE-ZÜMRÜTEVLER-NARCÝTY-KÝPTAÞ,MALTEPE - ZÜMRÜTEVLER,,9,,,
7336,37,PENDÝK-ESENLER MAHALLESÝ,PENDÝK - KAYNARCA - ESENYALI MH.,,9,,,
7289,37,KARTAL-SOÐANLIK-YAKACIK-UÐUR MUMCU-ORTADAÐ,KARTAL-SOÐANLIK-YAKACIK-AKPINARMAH.-SAMANDIRA-YENÝDOÐAN,,9,,,
7257,37,KARTAL-TOPSELVÝ-SAPANBAÐLARI,KARTAL - TOPSELVÝ,,9,,,
7378,37,KARTAL-KADIKÖY,KADIKÖY - KARTAL,,9,,,
7479,37,ATAKÖY-ÞÝRÝNEVLER METRO-ATAKÖY PLUS AVM RÝNG,BAKIRKÖY - ATAKÖY,,9,,,
7427,37,CEBECÝ MAH-TOPKAPI 2,GAZÝ MAHALLESÝ - CEBECÝ - KÜÇÜKKÖY - EDÝRNEKAPI,,9,,,
7238,37,ÜSKÜDAR-ÇENGELKÖY-TALÝMHANE-RASATHANE,ÜSKÜDAR - ÇENGELKÖY - TALÝMHANE - ÜMRANÝYE,,9,,,
7184,37,ÞÝÞLÝ-GÖKTÜRK,ÞÝÞLÝ - KAÐITHANE - GÜZELTEPE - ABDURAHMAN MH.,,9,,,
7202,37,SEFAKÖY - ÝSTOÇ,SEFAKÖY - MEHMET AKÝF - ÝSTOÇ,,9,,,
7507,37,Hacýosman-Beþiktaþ,Sarýyer,,9,,,
7164,37,YAHYA KEMAL-DERE CADDESÝ-NOBEL ÝLAÇ FABRÝKASI2,ÞÝÞLÝ - ÇAÐLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7131,37,ÝNCÝRLÝ-ORMANTEPE,ÇAVUÞPAÞA - BAHÇELÝEVLER - ÝNCÝRLÝ,,9,,,
7181,37,TOPKAPI-GÜNGÖREN-BAÐCILAR-OTOCENTER-42 EVLER,100.YIL MH - BAÐCILAR - TOPKAPI,,9,,,
7412,37,BEYLÝKDÜZÜ KAYMAKAMLIÐI-BÜYÜKÇEKMECE,B.ÇEKMECE - GÜRPINAR - YAKUPLU - BEYLÝKDÜZÜ,,9,,,
7282,37,DUDULLU-ÞAHÝNTEPE,DUDULLU - ÞAHÝNTEPE,,9,,,
7260,37,MARMARA ÜN. PENDÝK EÐÝTÝM VE ARÞ. HASTANESÝ,PENDÝK - GÖZDAÐI,,9,,,
7376,37,SANTRAL(ÜMRANÝYE)-YAVUZTÜRK,ÜMRANÝYE(SANTRAL) - YAVUZTÜRK MH.,,9,,,
7518,37,BÜYÜKÇEKMECE-TEPEKENT B KAPISI RÝNG GÜZERGAH,BÜYÜKÇEKMECE- TÜRKOBA- TEPEKENT,,9,,,
7444,37,ÝNCÝRLÝ-BAÐLAR MAH,ÝNCÝRLÝ - EVREN MH. - BAÐCILAR,,9,,,
7268,37,ÇATALCA DEVLET HASTANESÝ-YAZLIK KÖYÜ,ÇATALCA DEVLET HASTANESÝ - YAZLIK KÖYÜ,,9,,,
7256,37,AYDINLI TOKÝ KONUTLAR-ÝÇMELER-DENÝZ HARP OKULU,TERSANELER - TUZLA - AYDINLI - ORHANLI,,9,,,
7301,37,PENDÝK-ORHANLI,PENDÝK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7345,37,AÐVA - DEÐÝRMENÇAYIRI,AÐVA-DEÐÝRMENÇAYIRI,,9,,,
"7431,37,""PENDÝK ANADOLU ÝMAM HATÝP LÝSESÝ-YAKACIK,ADNAN KAHVECÝ METRO ÝSTASYONU"",KARTAL - TOPSELVÝ,,9,,,"
7373,37,ABDURRAHMANGAZÝ-YENÝDOÐAN-SARIGAZÝ-DUDULLU,DUDULLU - SARIGAZÝ - TAÞDELEN - YENÝDOÐAN-A.GAZÝ,,9,,,
7351,37,ÝNCÝRLÝ-KOCASÝNAN,ÝNCÝRLÝ - EVREN MH. - BAÐCILAR,,9,,,
7142,37,BAKIRKÖY - OSMANÝYE,BAKIRKÖY - OSMANÝYE,,9,,,
7258,37,PENDÝK-GÖZDAÐI,PENDÝK - GÖZDAÐI,,9,,,
7439,37,BAKIRKÖY-ADLÝYE-METRO,BAKIRKÖY - METRO - TOPKAPI,,9,,,
7331,37,PENDÝK-MARMARA ÜNV. PENDÝK EÐT. VE ARÞ HAS. 2,PENDÝK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7443,37,TOPKAPI-BASIN SÝTESÝ-RADAR,TOPKAPI - YAYLA - ÇAVUÞPAÞA - OTOSANAYÝ,,9,,,
7156,37,ÞÝÞLÝ-ZÝNCÝRLÝDERE,ÞÝÞLÝ - ÇAÐLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7481,37,ÞÝLE MERKEZ RÝNG,ÞÝLE MERKEZ RÝNG - PLAJ,,9,,,
7488,37,BEZMÝALEM VAKIF ÜNV. HASTANESÝ - GÜLSUYU - GÜLENSU,MALTEPE - GÜLSUYU - GÜLENSU,,9,,,
7305,37,ÝSTOÇ-BAÐCILAR DEVLET HASTANESÝ,TOPKAPI - ÇÝFTLÝK - FATÝH MAHALLESÝ - ÝSTOÇ,,9,,,
7391,37,MALTEPE-GÜLSUYU-GÜLENSU,MALTEPE - GÜLSUYU - GÜLENSU,,9,,,
7175,37,ÇAÐLAYAN-EDÝRNEKAPI-TOPKAPI,ÇAÐLAYAN - TOPKAPI,,9,,,
7234,37,PENDÝK-AYDOS-HÝLAL KONUTLARI,PENDÝK - AYDOS - HÝLAL KONUTLARI,,9,,,
7299,37,TOPKAPI-ATEÞTUÐLA-EVREN MH.,TOPKAPI - ÇÝFTLÝK - FATÝH MAHALLESÝ - ÝSTOÇ,,9,,,
7445,37,ÝNCÝRLÝ-BARBAROS MAH.,ÝNCÝRLÝ - EVREN MH. - BAÐCILAR,,9,,,
